"datum","zaehlstelle","uhrzeit_start","uhrzeit_ende","richtung_1","richtung_2","gesamt","min.temp","max.temp","niederschlag","bewoelkung","sonnenstunden","kommentar"
2013-01-01,"Arnulf","00:00","23:59",123,13,136,-5.6,7.2,0.9,78,1,NA
2013-01-02,"Arnulf","00:00","23:59",438,20,458,-4.6,4.5,0,60,0.7,NA
2013-01-03,"Arnulf","00:00","23:59",349,15,364,-5.4,5.4,1.3,80,0,NA
2013-01-04,"Arnulf","00:00","23:59",277,14,291,4.1,7.7,15.2,100,0,NA
2013-01-05,"Arnulf","00:00","23:59",88,6,94,4.7,7.3,3.7,100,0,NA
2013-01-06,"Arnulf","00:00","23:59",114,12,126,4.6,5.7,1.3,100,0,NA
2013-01-07,"Arnulf","00:00","23:59",539,28,567,1.9,6.2,0.6,95,0,NA
2013-01-08,"Arnulf","00:00","23:59",594,25,619,0.4,5.2,2.3,91,0.1,NA
2013-01-09,"Arnulf","00:00","23:59",652,25,677,0.3,4.8,0.7,99,0.4,NA
2013-01-10,"Arnulf","00:00","23:59",529,27,556,1,4.1,0.9,99,0.1,NA
2013-01-11,"Arnulf","00:00","23:59",464,30,494,-3.6,2,0.5,75,2,NA
2013-01-12,"Arnulf","00:00","23:59",131,12,143,-3.4,-0.8,0.9,100,0,NA
2013-01-13,"Arnulf","00:00","23:59",92,11,103,-3.5,-2.2,0,98,0.3,NA
2013-01-14,"Arnulf","00:00","23:59",398,14,412,-3.2,-1.1,0.1,100,0,NA
2013-01-15,"Arnulf","00:00","23:59",408,22,430,-4.6,-1.5,0.6,98,0,NA
2013-01-16,"Arnulf","00:00","23:59",289,14,303,-8.6,-0.7,1.9,93,0,NA
2013-01-17,"Arnulf","00:00","23:59",0,0,0,-7.9,-3.5,3.5,100,0,NA
2013-01-18,"Arnulf","00:00","23:59",0,0,0,-5.1,-2.7,0,95,0,NA
2013-01-19,"Arnulf","00:00","23:59",0,0,0,-6.1,-4,0,98,0,NA
2013-01-20,"Arnulf","00:00","23:59",0,0,0,-6.5,-3.3,0,100,0,NA
2013-01-21,"Arnulf","00:00","23:59",0,0,0,-4.4,-0.8,3.6,98,0,NA
2013-01-22,"Arnulf","00:00","23:59",207,23,230,-8.7,3.2,0,80,2.7,NA
2013-01-23,"Arnulf","00:00","23:59",244,13,257,-10.9,3.5,0,41,7.9,NA
2013-01-24,"Arnulf","00:00","23:59",277,19,296,-6.7,-2.4,1,100,0,NA
2013-01-25,"Arnulf","00:00","23:59",191,15,206,-5.1,-2.8,0,100,0,NA
2013-01-26,"Arnulf","00:00","23:59",93,5,98,-14.9,-4.8,0,89,0,NA
2013-01-27,"Arnulf","00:00","23:59",79,10,89,-12.6,1.6,1.9,96,2.1,NA
2013-01-28,"Arnulf","00:00","23:59",345,29,374,-1.8,3.5,0,81,0.2,NA
2013-01-29,"Arnulf","00:00","23:59",272,30,302,-2.3,7.9,5.9,100,0,NA
2013-01-30,"Arnulf","00:00","23:59",459,24,483,6.4,14.6,3.6,83,1.5,NA
2013-01-31,"Arnulf","00:00","23:59",539,35,574,5,10,1.3,64,5,NA
2013-02-01,"Arnulf","00:00","23:59",296,28,324,4.3,7.7,26.4,99,0,NA
2013-02-02,"Arnulf","00:00","23:59",166,28,194,-0.7,8.3,2,95,0,NA
2013-02-03,"Arnulf","00:00","23:59",142,25,167,-2.3,2.5,0.3,86,0.3,NA
2013-02-04,"Arnulf","00:00","23:59",256,30,286,-0.4,6.1,1.9,99,0,NA
2013-02-05,"Arnulf","00:00","23:59",392,23,415,0.2,7.7,6.8,93,0.9,NA
2013-02-06,"Arnulf","00:00","23:59",343,22,365,-0.9,2.7,2.6,84,4.1,NA
2013-02-07,"Arnulf","00:00","23:59",275,24,299,-3,0.9,0,94,0.7,NA
2013-02-08,"Arnulf","00:00","23:59",228,18,246,-5.5,-0.2,0.6,83,2,NA
2013-02-09,"Arnulf","00:00","23:59",52,7,59,-10.7,-1.8,0,88,2.8,NA
